country,year,vaccine,method,population,urban_poor_vaccinated,urban_nonpoor_vaccinated,rural_vaccinated,total_vaccinated,overall_coverage,urban_poor_coverage,urban_nonpoor_coverage,rural_coverage
Global,2040,measles1,historical_progress,131992968.49999999,34107207.19265416,47964764.26165529,42554471.57864246,124626443.03295192,94.41900159473414,93.05801949501091,99,90.74964918533942
Global,2040,measles1,static,131992968.49999999,29326646.24580039,42236952.99506211,36589918.57980674,108153517.82066923,81.93884799300444,80.01474886670746,87.17771078161961,78.02992615479032
Global,2041,DTP1,historical_progress,132729598.99999999,35220833.88345709,48523406.3051048,43202206.04330424,126946446.23186612,95.64290647172538,94.99009324161959,99,92.63379646954357
Global,2041,DTP1,static,132729598.99999999,32068606.049285226,46185990.548264205,39335653.739689,117590250.33723843,88.5938413309291,86.48857914125489,94.2310817078216,84.34316846844288
Global,2041,DTP3,historical_progress,132729598.99999999,35031386.63337596,48523406.3051048,42969828.264872745,126524621.20335351,95.3250986642049,94.4791566746683,99,92.13553404725683
Global,2041,DTP3,static,132729598.99999999,30174070.42448467,43457434.017746136,37011798.52689526,110643302.96912608,83.35993162243042,81.37904322723152,88.66413748253808,79.36037822410104
Global,2041,measles1,historical_progress,132234152,34539344.17678784,48342280.344770625,42366284.36066219,125247908.88222066,94.71676339877814,93.50114189744318,99,91.1817796216534
Global,2041,measles1,static,132234152,29557467.3660967,42569387.21636756,36255467.417201675,108382321.99966595,81.96242828378098,80.01474886670746,87.17771078161961,78.02992615479032
Global,2042,DTP1,historical_progress,132857092.5,35569691.29199694,48861253.756386295,42889998.85604224,127320943.90442547,95.83300485401296,95.26764940208022,99,92.90446765218553
Global,2042,DTP1,static,132857092.5,32291885.856802803,46507563.58651154,38937615.06356788,117737064.50688222,88.61932945497976,86.48857914125489,94.2310817078216,84.34316846844288
Global,2042,DTP3,historical_progress,132857092.5,35417096.985699005,48861253.756386295,42706000.36224509,126984351.10433039,95.5796553385589,94.85895030053878,99,92.50590662231923
Global,2042,DTP3,static,132857092.5,30384159.401412647,43760009.29924662,36637275.012325004,110781443.71298426,83.38391396980501,81.37904322723152,88.66413748253808,79.36037822410104
Global,2042,measles1,historical_progress,132444185.49999999,34956601.025685154,48709397.70320051,42150733.49090595,125816732.21979162,94.99604059235325,93.91747298216653,99,91.58778331793474
Global,2042,measles1,static,132444185.49999999,29781930.491624296,42892664.498146474,35911106.29076206,108585701.28053284,81.9860085745575,80.01474886670746,87.17771078161961,78.02992615479032
Global,2043,DTP1,historical_progress,132889522.49999999,35889106.788884185,49164489.98844245,42537234.88436568,127590831.66169232,96.01270985204445,95.53028462619667,99,93.16058802291359
Global,2043,DTP1,static,132889522.49999999,32492291.475578498,46796192.6588313,38511190.66735979,117799674.80176958,88.64481757903043,86.48857914125489,94.2310817078216,84.34316846844288
Global,2043,DTP3,historical_progress,132889522.49999999,35770106.67614479,49164489.98844245,42396191.091422096,127330787.75600934,95.81702557175593,95.21352793711506,99,92.8516887086228
Global,2043,DTP3,static,132889522.49999999,30572725.541303687,44031586.86458716,36236042.73730419,110840355.14319503,83.40789631717959,81.37904322723152,88.66413748253808,79.36037822410104
Global,2043,measles1,historical_progress,132576150,35346516.02116842,49048553.08951272,41894134.14997898,126289203.26066013,95.2578599247754,94.30839923324274,99,91.9690123655227
Global,2043,measles1,static,132576150,29989297.09062347,43191318.944388434,35544539.513476595,108725155.5484885,82.009588865334,80.01474886670746,87.17771078161961,78.02992615479032
Global,2044,DTP1,historical_progress,132891323,36196133.77691616,49456469.41068289,42165674.71952052,127818277.90711957,96.18256107444996,95.77872141172871,99,93.4028621574171
Global,2044,DTP1,static,132891323,32685257.58779764,47074107.171903424,38075777.59726788,117835142.35696895,88.67030570308113,86.48857914125489,94.2310817078216,84.34316846844288
Global,2044,DTP3,historical_progress,132891323,36107574.38679595,49456469.41068289,42062509.93235893,127626553.72983778,96.03828967060383,95.54438408700246,99,93.17433773657362
Global,2044,DTP3,static,132891323,30754291.682678558,44293082.86090633,35826352.81749593,110873727.36108081,83.4318786645542,81.37904322723152,88.66413748253808,79.36037822410104
Global,2044,measles1,historical_progress,132613055,35704202.33928176,49352909.95684276,41592612.93586598,126649725.2319905,95.50321062431635,94.67526526732416,99,92.326778026898
Global,2044,measles1,static,132613055,30175387.15732276,43459330.40857528,35151974.16533784,108786691.73123589,82.03316915611053,80.01474886670746,87.17771078161961,78.02992615479032
Global,2045,DTP1,historical_progress,132823314.00000001,36479969.18495924,49722323.58456566,41763773.54767109,127966066.31719598,96.34307597324063,96.0136561191505,99,93.6319691424538
Global,2045,DTP1,static,132823314.00000001,32860957.799674742,47327154.913130835,37620580.02699833,117808692.73980391,88.69579382713181,86.48857914125489,94.2310817078216,84.34316846844288
Global,2045,DTP3,historical_progress,132823314.00000001,36418909.35590258,49722323.58456566,41693869.736605555,127835102.6770738,96.24447608427673,95.85294936525999,99,93.47524883380743
Global,2045,DTP3,static,132823314.00000001,30919611.95131227,44531181.154072486,35398047.21789304,110848840.3232778,83.45586101192882,81.37904322723152,88.66413748253808,79.36037822410104
Global,2045,measles1,historical_progress,132619220.99999999,36046721.136923,49645921.49910539,41267773.310488425,126960415.94651681,95.73304306056572,95.01937093087577,99,92.66234790491018
Global,2045,measles1,static,132619220.99999999,30354540.45825418,43717351.373090915,34751130.063038304,108823021.8943834,82.05674944688704,80.01474886670746,87.17771078161961,78.02992615479032
Global,2046,DTP1,historical_progress,132633901.00000001,36725389.08302445,49941305.45497008,41317996.26372763,127984690.80172217,96.49470447357358,96.23575888381465,99,93.84856249019259
Global,2046,DTP1,static,132633901.00000001,33005680.60189887,47535588.23154104,37133128.38451045,117674397.21795037,88.72120651714101,86.48857914125489,94.2310817078216,84.34316846844288
Global,2046,DTP3,historical_progress,132633901.00000001,36689070.695347354,49941305.45497008,41277136.165473685,127907512.31579112,96.43651536404037,96.14058963750277,99,93.75575398467203
Global,2046,DTP3,static,132633901.00000001,31055784.88067591,44727300.736534305,34939393.038588986,110722478.6557992,83.47977238172251,81.37904322723152,88.66413748253808,79.36037822410104
Global,2046,measles1,historical_progress,132555519.99999999,36362800.40268104,49911792.26540577,40910064.908505484,127184657.57659228,95.94821669938173,95.34196913508478,99,92.97694383139407
Global,2046,measles1,static,132555519.99999999,30517099.32892551,43951472.63339215,34333343.431756236,108801915.3940739,82.08025994999976,80.01474886670746,87.17771078161961,78.02992615479032
Global,2047,DTP1,historical_progress,132357855.5,36942090.73415782,50126649.83766663,40839202.400528684,127907942.97235315,96.63796870171649,96.44567367996088,99,94.05327020063449
Global,2047,DTP1,static,132357855.5,33128172.74424293,47712004.41002553,36622944.85706666,117463122.01133512,88.74661920715022,86.48857914125489,94.2310817078216,84.34316846844288
Global,2047,DTP3,historical_progress,132357855.5,36927892.44174594,50126649.83766663,40823506.29546187,127878048.57487443,96.61538266225115,96.40860582999473,99,94.01712184503079
Global,2047,DTP3,static,132357855.5,31171040.483736895,44893294.67420121,34459349.91907073,110523685.07700884,83.50368375151625,81.37904322723152,88.66413748253808,79.36037822410104
Global,2047,measles1,historical_progress,132370500.99999999,36638622.85339129,50131438.94933762,40503720.94946873,127273782.75219764,96.1496570540272,95.64426434385076,99,93.27174039266617
Global,2047,measles1,static,132370500.99999999,30651395.84216579,44144889.75547248,33884886.69103664,108681172.28867492,82.10377045311246,80.01474886670746,87.17771078161961,78.02992615479032
Global,2048,DTP1,historical_progress,131983155.99999999,37126296.83405676,50273209.62858885,40324976.9187116,127724483.38135721,96.77332112088396,96.6440185167361,99,94.24669495277033
Global,2048,DTP1,static,131983155.99999999,33225032.560064554,47851504.28511111,36087592.49802201,117164129.34319767,88.77203189715944,86.48857914125489,94.2310817078216,84.34316846844288
Global,2048,DTP3,historical_progress,131983155.99999999,37131757.90350745,50273209.62858885,40330908.49601205,127735876.02810834,96.78195301535929,96.6582343082941,99,94.2605581115156
Global,2048,DTP3,static,131983155.99999999,31262178.056084525,45024553.23431979,33955624.881602585,110242356.1720069,83.52759512130996,81.37904322723152,88.66413748253808,79.36037822410104
Global,2048,measles1,historical_progress,132098853,36883312.366320476,50317279.339532875,40061057.70541472,127261649.41126806,96.33819410322062,95.92741163489404,99,93.54786401392307
Global,2048,measles1,static,132098853,30765022.49008815,44308537.6321188,33415636.021053948,108489196.1432609,82.12728095622518,80.01474886670746,87.17771078161961,78.02992615479032
Global,2049,DTP1,historical_progress,131520978.99999999,37280709.64872391,50384619.59102973,39780069.04929018,127445398.28904381,96.90119345069948,96.83138574797782,99,94.42941440667968
Global,2049,DTP1,static,131520978.99999999,33298662.22598326,47957547.53030133,35531058.69174209,116787268.44802669,88.79744458716864,86.48857914125489,94.2310817078216,84.34316846844288
Global,2049,DTP3,historical_progress,131520978.99999999,37303525.895303756,50384619.59102973,39804414.934144415,127492560.4204779,96.93705246862396,96.89064773077565,99,94.4872063538769
Global,2049,DTP3,static,131520978.99999999,31331457.85955798,45124331.70125699,33431969.745533116,109887759.30634809,83.55150649110368,81.37904322723152,88.66413748253808,79.36037822410104
Global,2049,measles1,historical_progress,131728456.5,37093163.95661937,50464102.53732987,39579949.98900102,127137216.48295026,96.51461792004696,96.19251625925294,99,93.80639252966556
Global,2049,measles1,static,131728456.5,30854793.22176486,44437827.63488222,32923348.735272538,108215969.59191962,82.15079145933788,80.01474886670746,87.17771078161961,78.02992615479032
