country,year,vaccine,method,population,urban_poor_population,urban_nonpoor_population,rural_population,urban_poor_zero_dose,urban_nonpoor_zero_dose,rural_zero_dose,total_zero_dose,overall_zero_dose_percent
Global,2034,measles1,historical_progress,130049707,34763655.59473878,45953670.34237212,49332381.06288911,3561573.981539008,1015669.4745254343,6152508.457771021,10729751.913835462,8.25050064421557
Global,2034,measles1,static,130049707,34763655.59473878,45953670.34237212,49332381.06288911,6947603.873721447,5892312.517760047,10838360.549116973,23678276.940598466,18.207097491268062
Global,2035,DTP1,historical_progress,131058169.5,35264542.57279747,46615786.98904548,49177839.93815705,2479882.518842938,466157.8698904552,4592402.860184861,7538443.248918254,5.75198270941687
Global,2035,DTP1,static,131058169.5,35264542.57279747,46615786.98904548,49177839.93815705,4764740.760922009,2689226.6626539603,7699691.549976061,15153658.97355203,11.562544350622895
Global,2035,DTP3,historical_progress,131058169.5,35264542.57279747,46615786.98904548,49177839.93815705,2969366.6054219925,466157.8698904552,5258075.827570314,8693600.30288276,6.6333906051409945
Global,2035,DTP3,static,131058169.5,35264542.57279747,46615786.98904548,49177839.93815705,6566595.228595155,5284301.524511094,10150120.1607926,22001016.913898848,16.78721517157986
Global,2035,measles1,historical_progress,130382525,35082743.19069694,46375468.5089959,48924313.30030716,3371581.3482118607,704277.8473071047,5798778.10577736,9874637.301296325,7.5735895598711
Global,2035,measles1,static,130382525,35082743.19069694,46375468.5089959,48924313.30030716,7011374.33110887,5946396.698602374,10748707.760339225,23706478.79005047,18.18225163997282
Global,2036,DTP1,historical_progress,131411579.5,35585731.58246485,47040362.98991006,48785484.927625105,2365941.688568068,470403.629899101,4373236.714244468,7209582.032711637,5.48626084561417
Global,2036,DTP1,static,131411579.5,35585731.58246485,47040362.98991006,48785484.927625105,4808137.9597702045,2713720.105232036,7638261.18697145,15160119.25197369,11.536364839122637
Global,2036,DTP3,historical_progress,131411579.5,35585731.58246485,47040362.98991006,48785484.927625105,2795096.409326139,470403.629899101,4946982.846930066,8212482.886155305,6.249436250140579
Global,2036,DTP3,static,131411579.5,35585731.58246485,47040362.98991006,48785484.927625105,6626403.695244201,5332430.876251241,10069139.570600018,22027974.14209546,16.76258228225273
Global,2036,measles1,historical_progress,130746561.5,35405647.36054506,46802311.76007286,48538602.37938209,3190524.3619895545,468023.117600729,5469514.844325331,9128062.323915616,6.9814932180190565
Global,2036,measles1,static,130746561.5,35405647.36054506,46802311.76007286,48538602.37938209,7075907.540372891,6001127.774764599,10663966.786182947,23741002.101320438,18.158031713377362
Global,2037,DTP1,historical_progress,131744292.50000001,35902496.409090556,47459090.71487979,48382705.37602968,2256358.8812002544,474590.9071487983,4165441.3778384593,6896391.166187512,5.234679267936796
Global,2037,DTP1,static,131744292.50000001,35902496.409090556,47459090.71487979,48382705.37602968,4850937.388628078,2737876.1655522375,7575198.671134594,15164012.225314908,11.510185327622375
Global,2037,DTP3,historical_progress,131744292.50000001,35902496.409090556,47459090.71487979,48382705.37602968,2629565.3083346137,474590.9071487983,4655903.829902768,7760060.04538618,5.890243818635391
Global,2037,DTP3,static,131744292.50000001,35902496.409090556,47459090.71487979,48382705.37602968,6685388.336681509,5379897.275476306,9986007.39456006,22051293.006717876,16.737949392925596
Global,2037,measles1,historical_progress,131104191.49999999,35728058.31072697,47228503.029833116,48147630.15943991,3017771.7503865226,472285.0302983316,5160247.875332906,8650304.65601776,6.598038214527841
Global,2037,measles1,static,131104191.49999999,35728058.31072697,47228503.029833116,48147630.15943991,7140342.17844798,6055775.251996747,10578069.900747396,23774187.331192125,18.133811786781912
Global,2038,DTP1,historical_progress,132031090.49999999,36207814.514944,47862687.153341524,47960588.83171446,2150639.546287267,478626.8715334157,3967752.3346225363,6597018.752443219,4.996564617818724
Global,2038,DTP1,static,132031090.49999999,36207814.514944,47862687.153341524,47960588.83171446,4892190.202867885,2761159.314317237,7509108.594924329,15162458.11210945,11.484005816122114
Global,2038,DTP3,historical_progress,132031090.49999999,36207814.514944,47862687.153341524,47960588.83171446,2472045.958546903,478626.8715334157,4382924.167185524,7333596.997265842,5.554447039325062
Global,2038,DTP3,static,132031090.49999999,36207814.514944,47862687.153341524,47960588.83171446,6742241.489191915,5425648.412865701,9898884.136359904,22066774.038417518,16.71331650359846
Global,2038,measles1,historical_progress,131441209.5,36046047.29971458,47648848.96073265,47746313.23955278,2852803.584428659,476488.48960732686,4869446.766670099,8198738.840706086,6.237571056972118
Global,2038,measles1,static,131441209.5,36046047.29971458,47648848.96073265,47746313.23955278,7203893.076473372,6109673.222974379,10489900.277094873,23803466.576542623,18.109591860186452
Global,2039,DTP1,historical_progress,132286807.99999999,36505542.60045221,48256250.43254914,47525014.966998644,2048983.388170454,482562.50432549184,3780207.3469427438,6311753.23943869,4.771264296768496
Global,2039,DTP1,static,132286807.99999999,36505542.60045221,48256250.43254914,47525014.966998644,4932417.497515583,2783863.658322742,7440911.528730282,15157192.684568606,11.457826304621854
Global,2039,DTP3,historical_progress,132286807.99999999,36505542.60045221,48256250.43254914,47525014.966998644,2322615.939828453,482562.50432549184,4127601.3875699253,6932779.831723871,5.240718962486321
Global,2039,DTP3,static,132286807.99999999,36505542.60045221,48256250.43254914,47525014.966998644,6797681.307294789,5470262.205115891,9808983.338127894,22076926.850538574,16.688683614271334
Global,2039,measles1,historical_progress,131732598.99999999,36352604.44611218,48054083.27241952,47325911.281468295,2694934.4770510877,480540.8327241956,4595344.69572796,7770820.005503243,5.898934709018565
Global,2039,measles1,static,131732598.99999999,36352604.44611218,48054083.27241952,47325911.281468295,7265159.292047987,6161633.538430982,10397537.656457003,23824330.486935973,18.085371933591
Global,2040,DTP1,historical_progress,132523766,36798941.513919935,48644091.029794805,47080733.45628527,1951496.5274004836,486440.91029794846,3602690.856933099,6040628.294631531,4.558147173867313
Global,2040,DTP1,static,132523766,36798941.513919935,48644091.029794805,47080733.45628527,4972059.859509193,2806237.8654817413,7371351.121072032,15149648.846062966,11.431646793121594
Global,2040,DTP3,historical_progress,132523766,36798941.513919935,48644091.029794805,47080733.45628527,2181224.0227782764,486440.91029794846,3889314.505643709,6556979.438719934,4.947776264311666
Global,2040,DTP3,static,132523766,36798941.513919935,48644091.029794805,47080733.45628527,6852314.992143387,5514227.282006563,9717285.314696403,22083827.588846356,16.6640507249442
Global,2040,measles1,historical_progress,131992968.49999999,36651550.69680238,48449256.82995484,46892160.97324277,2544343.5041482127,484492.5682995488,4337689.394600312,7366525.467048073,5.5809984052658645
Global,2040,measles1,static,131992968.49999999,36651550.69680238,48449256.82995484,46892160.97324277,7324904.451001986,6212303.834892724,10302242.393436031,23839450.679330744,18.061152006995545
Global,2041,DTP1,historical_progress,132729598.99999999,37078428.58293479,49013541.72232808,46637628.69473713,1857594.6994777042,490135.4172232812,3435422.6514328863,5783152.768133871,4.357093528274633
Global,2041,DTP1,static,132729598.99999999,37078428.58293479,49013541.72232808,46637628.69473713,5009822.533649562,2827551.1740638735,7301974.955048131,15139348.662761565,11.40615866907092
Global,2041,DTP3,historical_progress,132729598.99999999,37078428.58293479,49013541.72232808,46637628.69473713,2047041.9495588338,490135.4172232812,3667800.429864381,6204977.796646496,4.674901335795114
Global,2041,DTP3,static,132729598.99999999,37078428.58293479,49013541.72232808,46637628.69473713,6904358.15845012,5556107.704581946,9625830.167841868,22086296.030873932,16.6400683775696
Global,2041,measles1,historical_progress,132234152,36940023.9140099,48830586.20683902,46463541.8791511,2400679.7372220615,488305.8620683906,4097257.5184889077,6986243.117779359,5.283236601221868
