country,vaccine,year,urban_rate,recent_year,recent_coverage_value,intercept,slope,projected_coverage,urban non-poor_proportion_of_children_percent,urban poor_proportion_of_children_percent,rural_proportion_of_children_percent,urban non-poor_zero_dose_percent,urban poor_zero_dose_percent,rural_zero_dose_percent,rural_proportion,urban poor_adjusted,urban non-poor_adjusted,avg_projected_coverage,urban_poor_coverage,urban_nonpoor_coverage,rural_coverage,method
Pakistan,measles1,2026,0.391024,2023,0.84,1.3080421776461981,0.05107512368969695,0.84,0.204,0.14,0.657,0.043,0.132,0.166,60.897600000000004,15.913767441860466,23.188632558139535,84,84.41956914897314,93.07549271378718,81.11281183207787,static
Pakistan,measles1,2027,0.394968,2023,0.84,1.3080421776461981,0.05107512368969695,0.84,0.204,0.14,0.657,0.043,0.132,0.166,60.5032,16.074279069767442,23.422520930232558,84,84.41956914897314,93.07549271378718,81.11281183207787,static
Pakistan,measles1,2028,0.398912,2023,0.84,1.3080421776461981,0.05107512368969695,0.84,0.204,0.14,0.657,0.043,0.132,0.166,60.1088,16.23479069767442,23.65640930232558,84,84.41956914897314,93.07549271378718,81.11281183207787,static
Pakistan,measles1,2029,0.402856,2023,0.84,1.3080421776461981,0.05107512368969695,0.84,0.204,0.14,0.657,0.043,0.132,0.166,59.7144,16.3953023255814,23.89029767441861,84,84.41956914897314,93.07549271378718,81.11281183207787,static
Pakistan,measles1,2030,0.4068,2023,0.84,1.3080421776461981,0.05107512368969695,0.84,0.204,0.14,0.657,0.043,0.132,0.166,59.32,16.55581395348837,24.12418604651163,84,84.41956914897314,93.07549271378718,81.11281183207787,static
Pakistan,measles1,2031,0.41160399999999997,2023,0.84,1.3080421776461981,0.05107512368969695,0.84,0.204,0.14,0.657,0.043,0.132,0.166,58.839600000000004,16.75132558139535,24.409074418604646,84,84.41956914897314,93.07549271378718,81.11281183207787,static
Pakistan,measles1,2032,0.416408,2023,0.84,1.3080421776461981,0.05107512368969695,0.84,0.204,0.14,0.657,0.043,0.132,0.166,58.3592,16.94683720930233,24.693962790697675,84,84.41956914897314,93.07549271378718,81.11281183207787,static
Pakistan,measles1,2033,0.421212,2023,0.84,1.3080421776461981,0.05107512368969695,0.84,0.204,0.14,0.657,0.043,0.132,0.166,57.878800000000005,17.142348837209305,24.978851162790697,84,84.41956914897314,93.07549271378718,81.11281183207787,static
Pakistan,measles1,2034,0.426016,2023,0.84,1.3080421776461981,0.05107512368969695,0.84,0.204,0.14,0.657,0.043,0.132,0.166,57.3984,17.337860465116282,25.26373953488372,84,84.41956914897314,93.07549271378718,81.11281183207787,static
Pakistan,measles1,2035,0.43082,2023,0.84,1.3080421776461981,0.05107512368969695,0.84,0.204,0.14,0.657,0.043,0.132,0.166,56.918,17.533372093023257,25.548627906976744,84,84.41956914897314,93.07549271378718,81.11281183207787,static
Pakistan,measles1,2036,0.43645,2023,0.84,1.3080421776461981,0.05107512368969695,0.84,0.204,0.14,0.657,0.043,0.132,0.166,56.355,17.762500000000003,25.8825,84,84.41956914897314,93.07549271378718,81.11281183207787,static
Pakistan,measles1,2037,0.44208,2023,0.84,1.3080421776461981,0.05107512368969695,0.84,0.204,0.14,0.657,0.043,0.132,0.166,55.792,17.991627906976746,26.216372093023256,84,84.41956914897314,93.07549271378718,81.11281183207787,static
Pakistan,measles1,2038,0.44771,2023,0.84,1.3080421776461981,0.05107512368969695,0.84,0.204,0.14,0.657,0.043,0.132,0.166,55.229,18.22075581395349,26.550244186046513,84,84.41956914897314,93.07549271378718,81.11281183207787,static
Pakistan,measles1,2039,0.45333999999999997,2023,0.84,1.3080421776461981,0.05107512368969695,0.84,0.204,0.14,0.657,0.043,0.132,0.166,54.666000000000004,18.449883720930234,26.884116279069765,84,84.41956914897314,93.07549271378718,81.11281183207787,static
Pakistan,measles1,2040,0.45897,2023,0.84,1.3080421776461981,0.05107512368969695,0.84,0.204,0.14,0.657,0.043,0.132,0.166,54.103,18.679011627906977,27.217988372093025,84,84.41956914897314,93.07549271378718,81.11281183207787,static
Pakistan,measles1,2041,0.46523,2023,0.84,1.3080421776461981,0.05107512368969695,0.84,0.204,0.14,0.657,0.043,0.132,0.166,53.477000000000004,18.933779069767446,27.589220930232557,84,84.41956914897314,93.07549271378718,81.11281183207787,static
Pakistan,measles1,2042,0.47148999999999996,2023,0.84,1.3080421776461981,0.05107512368969695,0.84,0.204,0.14,0.657,0.043,0.132,0.166,52.851000000000006,19.18854651162791,27.960453488372092,84,84.41956914897314,93.07549271378718,81.11281183207787,static
Pakistan,measles1,2043,0.47775,2023,0.84,1.3080421776461981,0.05107512368969695,0.84,0.204,0.14,0.657,0.043,0.132,0.166,52.225,19.443313953488378,28.331686046511624,84,84.41956914897314,93.07549271378718,81.11281183207787,static
